atof.sector0.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector6.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector7.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector8.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector9.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector10.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector11.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector12.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector13.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector14.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
