        region1_s1 |       fc | 97.1504955*cm 0*cm 216.9377989*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |    1   1   0   0
     sl2_layer4_s6 | region1_s6 | 2.5854519*cm -7.2439967*cm 5.91101*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad 79.1146423*cm 7.1026473*cm 89.3722088*cm 0.1323475*rad  |    6   1   2   4
     sl2_layer5_s6 | region1_s6 | 2.6206353*cm -6.5363127*cm 7.12367*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad 79.1146423*cm 7.7590725*cm 90.028634*cm 0.1323475*rad  |    6   1   2   5
     sl2_layer6_s6 | region1_s6 | 2.6167964*cm -7.2407023*cm 8.33633*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.59633*cm -0.4363323*rad 1.5707963*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad 79.1146423*cm 7.6874485*cm 89.95701*cm 0.1323475*rad  |    6   1   2   6
        region2_s1 |       fc | 157.8593431*cm 0*cm 333.5285701*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |    1   2   0   0
     sl3_layer1_s1 | region2_s1 | -3.880899*cm -10.2096593*cm -15.1600635*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad  |    1   2   3   1
     sl3_layer2_s1 | region2_s1 | -3.8747477*cm -11.293412*cm -13.2943455*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad  |    1   2   3   2
     sl3_layer3_s1 | region2_s1 | -3.9311233*cm -10.2043805*cm -11.4286275*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad  |    1   2   3   3
     sl3_layer4_s1 | region2_s1 | -3.9249721*cm -11.2881332*cm -9.5629095*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad  |    1   2   3   4
     sl3_layer5_s1 | region2_s1 | -3.9813477*cm -10.1991017*cm -7.6971915*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad  |    1   2   3   5
     sl3_layer6_s1 | region2_s1 | -3.9751964*cm -11.2828544*cm -5.8314735*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad  |    1   2   3   6
     sl4_layer1_s1 | region2_s1 | 4.1377253*cm -10.7655969*cm 5.1710355*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad  |    1   2   4   1
     sl4_layer2_s1 | region2_s1 | 4.1312112*cm -11.9132885*cm 7.1468265*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad  |    1   2   4   2
     sl4_layer3_s1 | region2_s1 | 4.1909128*cm -10.7600067*cm 9.1226175*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad  |    1   2   4   3
     sl4_layer4_s1 | region2_s1 | 4.1843987*cm -11.9076983*cm 11.0984085*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad  |    1   2   4   4
     sl4_layer5_s1 | region2_s1 | 4.2441003*cm -10.7544165*cm 13.0741995*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad  |    1   2   4   5
     sl4_layer6_s1 | region2_s1 | 4.2375861*cm -11.902108*cm 15.0499905*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad  |    1   2   4   6
        region2_s2 |       fc | 78.9296716*cm 136.7102014*cm 333.5285701*cm | ordered: zxy 30*deg 25*deg 0*deg |   G4Trap | 16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |    2   2   0   0
     sl3_layer1_s2 | region2_s2 | -3.880899*cm -10.2096593*cm -15.1600635*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad  |    2   2   3   1
     sl3_layer2_s2 | region2_s2 | -3.8747477*cm -11.293412*cm -13.2943455*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad  |    2   2   3   2
     sl3_layer3_s2 | region2_s2 | -3.9311233*cm -10.2043805*cm -11.4286275*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad  |    2   2   3   3
     sl3_layer4_s2 | region2_s2 | -3.9249721*cm -11.2881332*cm -9.5629095*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad  |    2   2   3   4
     sl3_layer5_s2 | region2_s2 | -3.9813477*cm -10.1991017*cm -7.6971915*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad  |    2   2   3   5
     sl3_layer6_s2 | region2_s2 | -3.9751964*cm -11.2828544*cm -5.8314735*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad  |    2   2   3   6
     sl4_layer1_s2 | region2_s2 | 4.1377253*cm -10.7655969*cm 5.1710355*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad  |    2   2   4   1
     sl4_layer2_s2 | region2_s2 | 4.1312112*cm -11.9132885*cm 7.1468265*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad  |    2   2   4   2
     sl4_layer3_s2 | region2_s2 | 4.1909128*cm -10.7600067*cm 9.1226175*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad  |    2   2   4   3
     sl4_layer4_s2 | region2_s2 | 4.1843987*cm -11.9076983*cm 11.0984085*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad  |    2   2   4   4
     sl4_layer5_s2 | region2_s2 | 4.2441003*cm -10.7544165*cm 13.0741995*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad  |    2   2   4   5
     sl4_layer6_s2 | region2_s2 | 4.2375861*cm -11.902108*cm 15.0499905*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad  |    2   2   4   6
        region2_s3 |       fc | -78.9296716*cm 136.7102014*cm 333.5285701*cm | ordered: zxy -30*deg 25*deg 0*deg |   G4Trap | 16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |    3   2   0   0
     sl3_layer1_s3 | region2_s3 | -3.880899*cm -10.2096593*cm -15.1600635*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad  |    3   2   3   1
     sl3_layer2_s3 | region2_s3 | -3.8747477*cm -11.293412*cm -13.2943455*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad  |    3   2   3   2
     sl3_layer3_s3 | region2_s3 | -3.9311233*cm -10.2043805*cm -11.4286275*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad  |    3   2   3   3
     sl3_layer4_s3 | region2_s3 | -3.9249721*cm -11.2881332*cm -9.5629095*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad  |    3   2   3   4
     sl3_layer5_s3 | region2_s3 | -3.9813477*cm -10.1991017*cm -7.6971915*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad  |    3   2   3   5
     sl3_layer6_s3 | region2_s3 | -3.9751964*cm -11.2828544*cm -5.8314735*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad  |    3   2   3   6
     sl4_layer1_s3 | region2_s3 | 4.1377253*cm -10.7655969*cm 5.1710355*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad  |    3   2   4   1
     sl4_layer2_s3 | region2_s3 | 4.1312112*cm -11.9132885*cm 7.1468265*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad  |    3   2   4   2
     sl4_layer3_s3 | region2_s3 | 4.1909128*cm -10.7600067*cm 9.1226175*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad  |    3   2   4   3
     sl4_layer4_s3 | region2_s3 | 4.1843987*cm -11.9076983*cm 11.0984085*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad  |    3   2   4   4
     sl4_layer5_s3 | region2_s3 | 4.2441003*cm -10.7544165*cm 13.0741995*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad  |    3   2   4   5
     sl4_layer6_s3 | region2_s3 | 4.2375861*cm -11.902108*cm 15.0499905*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad  |    3   2   4   6
        region2_s4 |       fc | -157.8593431*cm 0*cm 333.5285701*cm | ordered: zxy -90*deg 25*deg 0*deg |   G4Trap | 16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |    4   2   0   0
     sl3_layer1_s4 | region2_s4 | -3.880899*cm -10.2096593*cm -15.1600635*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad  |    4   2   3   1
     sl3_layer2_s4 | region2_s4 | -3.8747477*cm -11.293412*cm -13.2943455*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad  |    4   2   3   2
     sl3_layer3_s4 | region2_s4 | -3.9311233*cm -10.2043805*cm -11.4286275*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad  |    4   2   3   3
     sl3_layer4_s4 | region2_s4 | -3.9249721*cm -11.2881332*cm -9.5629095*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad  |    4   2   3   4
     sl3_layer5_s4 | region2_s4 | -3.9813477*cm -10.1991017*cm -7.6971915*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad  |    4   2   3   5
     sl3_layer6_s4 | region2_s4 | -3.9751964*cm -11.2828544*cm -5.8314735*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad  |    4   2   3   6
     sl4_layer1_s4 | region2_s4 | 4.1377253*cm -10.7655969*cm 5.1710355*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad  |    4   2   4   1
     sl4_layer2_s4 | region2_s4 | 4.1312112*cm -11.9132885*cm 7.1468265*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad  |    4   2   4   2
     sl4_layer3_s4 | region2_s4 | 4.1909128*cm -10.7600067*cm 9.1226175*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad  |    4   2   4   3
     sl4_layer4_s4 | region2_s4 | 4.1843987*cm -11.9076983*cm 11.0984085*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad  |    4   2   4   4
     sl4_layer5_s4 | region2_s4 | 4.2441003*cm -10.7544165*cm 13.0741995*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad  |    4   2   4   5
     sl4_layer6_s4 | region2_s4 | 4.2375861*cm -11.902108*cm 15.0499905*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad  |    4   2   4   6
        region2_s5 |       fc | -78.9296716*cm -136.7102014*cm 333.5285701*cm | ordered: zxy -150*deg 25*deg 0*deg |   G4Trap | 16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |    5   2   0   0
     sl3_layer1_s5 | region2_s5 | -3.880899*cm -10.2096593*cm -15.1600635*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad  |    5   2   3   1
     sl3_layer2_s5 | region2_s5 | -3.8747477*cm -11.293412*cm -13.2943455*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad  |    5   2   3   2
     sl3_layer3_s5 | region2_s5 | -3.9311233*cm -10.2043805*cm -11.4286275*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad  |    5   2   3   3
     sl3_layer4_s5 | region2_s5 | -3.9249721*cm -11.2881332*cm -9.5629095*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad  |    5   2   3   4
     sl3_layer5_s5 | region2_s5 | -3.9813477*cm -10.1991017*cm -7.6971915*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad  |    5   2   3   5
     sl3_layer6_s5 | region2_s5 | -3.9751964*cm -11.2828544*cm -5.8314735*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad 121.7205252*cm 8.0889283*cm 137.2690725*cm -0.1334891*rad  |    5   2   3   6
     sl4_layer1_s5 | region2_s5 | 4.1377253*cm -10.7655969*cm 5.1710355*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad 128.9017516*cm 7.2498007*cm 144.0512714*cm 0.1334891*rad  |    5   2   4   1
     sl4_layer2_s5 | region2_s5 | 4.1312112*cm -11.9132885*cm 7.1468265*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad 128.9017516*cm 7.1307011*cm 143.9321718*cm 0.1334891*rad  |    5   2   4   2
     sl4_layer3_s5 | region2_s5 | 4.1909128*cm -10.7600067*cm 9.1226175*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad 128.9017516*cm 8.222234*cm 145.0237048*cm 0.1334891*rad  |    5   2   4   3
     sl4_layer4_s5 | region2_s5 | 4.1843987*cm -11.9076983*cm 11.0984085*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad 128.9017516*cm 8.1031345*cm 144.9046052*cm 0.1334891*rad  |    5   2   4   4
     sl4_layer5_s5 | region2_s5 | 4.2441003*cm -10.7544165*cm 13.0741995*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad 128.9017516*cm 9.1946674*cm 145.9961381*cm 0.1334891*rad  |    5   2   4   5
     sl4_layer6_s5 | region2_s5 | 4.2375861*cm -11.902108*cm 15.0499905*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.9778955*cm -0.4363323*rad 1.5707963*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad 128.9017516*cm 9.0755678*cm 145.8770385*cm 0.1334891*rad  |    5   2   4   6
        region2_s6 |       fc | 78.9296716*cm -136.7102014*cm 333.5285701*cm | ordered: zxy -210*deg 25*deg 0*deg |   G4Trap | 16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |    6   2   0   0
     sl3_layer1_s6 | region2_s6 | -3.880899*cm -10.2096593*cm -15.1600635*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad 121.7205252*cm 6.3648762*cm 135.5450204*cm -0.1334891*rad  |    6   2   3   1
     sl3_layer2_s6 | region2_s6 | -3.8747477*cm -11.293412*cm -13.2943455*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad 121.7205252*cm 6.2524118*cm 135.432556*cm -0.1334891*rad  |    6   2   3   2
     sl3_layer3_s6 | region2_s6 | -3.9311233*cm -10.2043805*cm -11.4286275*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad 121.7205252*cm 7.2831344*cm 136.4632787*cm -0.1334891*rad  |    6   2   3   3
     sl3_layer4_s6 | region2_s6 | -3.9249721*cm -11.2881332*cm -9.5629095*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad 121.7205252*cm 7.17067*cm 136.3508143*cm -0.1334891*rad  |    6   2   3   4
     sl3_layer5_s6 | region2_s6 | -3.9813477*cm -10.1991017*cm -7.6971915*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.922859*cm -0.4363323*rad 1.5707963*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad 121.7205252*cm 8.2013927*cm 137.381537*cm -0.1334891*rad  |    6   2   3   5
